first_name,last_name,id,petType,birthday
Carmencita,Chopy,77,Fat-tailed dunnart,12/29/1970
Jenda,Jozefczak,78,"Falcon, prairie",8/12/1980
Fianna,Chellam,79,Coke's hartebeest,5/31/1977
Hermione,Marchment,80,Vine snake (unidentified),11/26/1992
Augustus,Fierro,81,"Tortoise, desert",2/29/1984
Lennard,Kilvington,82,"Lourie, grey",7/17/1974
Zane,Bohea,83,"Albatross, galapagos",6/18/1990
Joshuah,Doucette,84,"Whale, southern right",8/13/1984
Briano,Lacy,85,North American beaver,11/10/1998
Amabelle,Ridett,86,"Cliffchat, mocking",8/7/1996
Kinsley,Fraczek,87,"Tortoise, burmese black mountain",6/18/1989
Lorianne,O'Noland,88,Red-tailed hawk,2/9/1995
Cristin,Reignard,89,"Dragon, frilled",8/18/1997
Davis,Begwell,90,Kori bustard,4/4/1966
Charmian,Donat,91,"Otter, cape clawless",12/13/1970
Judas,Paulmann,92,"Iguana, common green",4/30/1996
Trixy,Palatini,93,Southern tamandua,12/9/1993
Dorothee,Crosfeld,94,Emerald green tree boa,8/1/1976
Addia,Benediktsson,95,Smith's bush squirrel,5/15/1967
Gianni,Fearenside,96,"Waxbill, black-cheeked",6/6/1989
Maryanna,Upcott,97,Crab-eating fox,9/17/1995
Harley,Peddersen,98,"Sheep, red",12/19/1986
Alphonse,Trye,99,"Hyena, brown",12/31/1994
Corry,Strawbridge,100,"Crab, red lava",2/16/1980
Louisa,Fridd,101,Black swan,7/31/1992
Abbe,Rockell,102,"Hawk, ferruginous",10/22/1973
Myrtle,Lochran,103,North American red fox,3/9/1965
Daffi,Richin,104,"Lemur, lesser mouse",4/3/1970
Donelle,Cogar,105,American woodcock,1/24/1975
Randene,Brownsill,106,Tammar wallaby,10/9/1982
Rey,Gabriely,107,Red squirrel,7/3/1997
Clayton,Seabert,108,Common raccoon,9/20/1986
Stanislas,Guerre,109,Red-winged blackbird,12/29/1971
Leelah,Littefair,110,"Pelican, great white",2/4/1993
Fredek,Deshon,111,"Dragon, netted rock",5/19/1984
Serena,Roubeix,112,"Hornbill, southern ground",2/27/1979
Anita,Leversuch,113,Ostrich,6/24/1984
Cass,Curner,114,Spotted wood sandpiper,6/27/1985
Zonda,Hakeworth,115,"Marten, american",2/28/1994
Heindrick,Flatt,116,Russian dragonfly,6/30/1969
Aleta,Tasseler,117,Groundhog,2/22/1999
Jenelle,Duthie,118,Greater flamingo,2/18/1977
Rowe,Starbeck,119,"Goose, snow",11/17/1987
Niel,Rosas,120,Red howler monkey,9/8/1972
Arri,Kliner,121,"Lion, california sea",8/13/1990
Lucie,Haet,122,"Hartebeest, red",4/2/1982
Rollie,Daish,123,"Wombat, southern hairy-nosed",1/25/1987
Farah,McConnulty,124,"Tortoise, burmese black mountain",1/23/1991
Patricio,Roseby,125,Roe deer,1/18/1978
Augustus,Norheny,126,"Stork, jabiru",2/17/1968
Phillip,Stranger,127,Wild water buffalo,4/29/1973
Elbert,Chimenti,128,Southern hairy-nosed wombat,7/18/1981
Malcolm,Rustadge,129,Orca,4/27/1979
Wainwright,Bichard,130,White spoonbill,2/10/1990
Ladonna,Skelhorn,131,"Wombat, common",4/6/1995
Liane,Cawte,132,Laughing dove,8/11/1988
Cyril,Piechnik,133,"Boubou, southern",1/1/1972
Trstram,Rider,134,"Stork, yellow-billed",9/7/1971
Budd,Whayman,135,"Lion, asian",11/20/1998
Callida,Newtown,136,Brazilian tapir,8/12/1977
Bald,Busain,137,"Bleu, blue-breasted cordon",12/10/1993
Lincoln,Foster-Smith,138,"Possum, common brushtail",11/3/1990
Joyan,Borkett,139,Blackbuck,6/18/1987
Adriano,Barsham,140,Chital,9/3/1999
Patrica,Clutterbuck,141,"Hartebeest, coke's",6/16/1974
Darrel,Beany,142,Mexican wolf,9/8/1973
Celeste,Vasichev,143,Malleefowl,10/21/1975
Dolorita,Angeli,144,"Zorro, azara's",5/5/1986
Minne,Heinlein,145,Rhesus monkey,10/8/1970
Shurwood,Trittam,146,Arctic lemming,5/28/1974
Adolf,Bickerstasse,147,"Sheep, stone",2/19/1997
Brear,Nicklen,148,"Screamer, crested",3/24/1981
Melina,Rotge,149,"Waterbuck, common",2/3/1977
Kylynn,Kores,150,"Glider, feathertail",4/1/1972
Rhiamon,Marques,151,Australian brush turkey,4/30/1968
Otho,McKean,152,European stork,7/24/1968
Chloris,Tookey,153,"Kangaroo, western grey",11/1/1970
Obed,Innett,154,Four-spotted skimmer,10/25/1979
Simonette,Derycot,155,"Legaan, water",6/16/1987
Elladine,Stopp,156,White-winged dove,4/9/1998
Ashlee,Scarasbrick,157,"Otter, north american river",10/6/1967
Wilmar,Hurdwell,158,"Lion, southern sea",8/10/1978
Fairleigh,Gainsford,159,Ornate rock dragon,11/30/1989
Ethelin,Brownell,160,Common melba finch,4/27/1994
Clyde,Loynton,161,Tsessebe,4/1/1987
Charin,Gosenell,162,Steller's sea lion,4/11/1978
Rainer,Pinel,163,"Plover, blacksmith",7/9/1969
Liane,Local,164,Jaguar,10/6/1991
Neale,Gauthorpp,165,American woodcock,9/21/1983
Cherish,Leveridge,166,Southern right whale,6/22/1984
Stepha,Dyte,167,"Hare, arctic",11/25/1988
Chan,Retter,168,Small Indian mongoose,9/16/1983
Rabi,Benbrick,169,"Gull, kelp",10/23/1981
Jeniece,Loynes,170,"Alligator, american",1/11/1988
Didi,Ecles,171,Gelada baboon,5/21/1983
Bay,Grimsey,172,"Mongoose, banded",11/27/1969
Maxie,Gledhill,173,"Porcupine, north american",10/24/1983
Celine,Ganiford,174,"Spurfowl, yellow-necked",1/8/1992
Linea,Zupone,175,Blue duck,4/11/1968
Cal,Giacomelli,176,Eastern box turtle,3/4/1996
Durant,Scardifeild,177,White-bellied sea eagle,2/28/1985
Rea,Twiddy,178,Bottle-nose dolphin,1/23/1997
Arv,Ernke,179,Sportive lemur,3/15/1975
Vi,Vant,180,"Pelican, brown",12/1/1978
Rafaela,Langran,181,"Oryx, beisa",7/15/1984
Albie,Gedney,182,"Whale, southern right",12/17/1987
Willey,MacSherry,183,"Vulture, black",1/23/1996
Cass,Vickarman,184,"Bee-eater, nubian",4/4/1986
Gerard,Sirmon,185,"Booby, blue-footed",11/29/1991
Andriana,Adnet,186,"Bulbul, african red-eyed",4/5/1986
Stanislaw,Thirlwell,187,Asian elephant,1/15/1996
Umeko,Clink,188,"Possum, pygmy",9/7/1993
Georgia,Nowakowska,189,Bare-faced go away bird,7/29/1998
Pat,Shippard,190,"Stork, saddle-billed",9/21/1986
Amalita,Garnsworth,191,Black-faced kangaroo,6/2/1969
Haley,McKerley,192,Tiger,4/6/1981
Clare,Nowakowska,193,"Wallaby, tammar",4/27/1969
Quintana,Waldrum,194,"Skua, long-tailed",1/25/1991
Joseito,Budnik,195,Pied kingfisher,4/30/1968
Fairfax,Youd,196,Wattled crane,9/23/1977
Maryann,Taplow,197,Guerza,12/7/1993
Darsey,Eastway,198,Pampa gray fox,4/8/1974
Hynda,Antonich,199,Asian red fox,12/6/1984
Naoma,Hayzer,200,"Shrew, mandras tree",6/21/1994
Tamara,Janu,201,Denham's bustard,10/26/1976
Sioux,Swalwel,202,Crested screamer,5/4/1981
Hugh,Easey,203,"Mockingbird, galapagos",2/18/1974
Abner,Bulfit,204,"Squirrel, nelson ground",12/9/1970
Lita,Tithacott,205,Western lowland gorilla,5/16/1979
Cullan,Craik,206,Arctic ground squirrel,8/14/1977
Zaccaria,Bowld,207,"Egret, snowy",6/27/1998
Greer,Janiszewski,208,Herring gull,12/28/1990
Marcie,Bignall,209,Barking gecko,4/10/1993
Ines,Essery,210,"Stork, jabiru",6/29/1986
Nikoletta,Laphorn,211,Purple grenadier,8/21/1979
Fletch,Ayers,212,Black-tailed deer,12/24/1965
Terrill,Batchellor,213,"Macaw, green-winged",5/11/1975
Parry,Pearse,214,Brazilian otter,2/12/1976
Skell,Smyth,215,Yellow-rumped siskin,12/22/1983
Lavena,Linbohm,216,North American porcupine,10/7/1971
Daryl,Brazil,217,"Tern, white-winged black",4/26/1968
Benedicto,Myner,218,Beisa oryx,11/11/1994
Iseabal,Scallan,219,"Cockatoo, slender-billed",11/12/1985
Pavel,Pauel,220,"Pie, indian tree",10/12/1994
Ibrahim,Habard,221,Smith's bush squirrel,9/13/1976
Lucinda,Huton,222,"Mockingbird, galapagos",11/20/1968
Joaquin,Solland,223,Urial,9/3/1995
Philomena,Van der Mark,224,Paca,5/18/1991
Nanine,Ogilvie,225,Black swan,3/8/1972
Pepito,Harman,226,Goanna lizard,4/10/1975
Lorenza,McPherson,227,Barking gecko,3/9/1977
Royall,Broinlich,228,Oriental short-clawed otter,3/9/1986
Kristyn,Delaprelle,229,Collared lizard,9/20/1985
Brian,Serrier,230,Sandhill crane,5/11/1966
Ezri,Servis,231,Verreaux's sifaka,8/24/1966
Daryl,Kindleysides,232,"Squirrel, grey-footed",10/29/1964
Georgia,Tottman,233,Harbor seal,9/12/1986
Cecil,Abrahamsohn,234,Columbian rainbow boa,1/27/1979
Arliene,Ranby,235,"Lemur, grey mouse",3/3/1996
Cacilie,Asquez,236,European badger,2/13/1988
Kathie,Byrth,237,"Bettong, brush-tailed",9/19/1984
Erina,Langridge,238,Red-cheeked cordon bleu,4/19/1969
Liana,Panchin,239,Warthog,10/21/1993
Oby,Corkill,240,"Wallaby, tammar",2/21/1980
Alva,Colbertson,241,"Lizard, desert spiny",4/16/1980
Sharyl,Dearan,242,African lynx,1/31/1971
Caroline,Leake,243,"Plover, blacksmith",12/28/1987
Mercie,Brideau,244,"Zorro, common",12/17/1985
Wayne,Gronaver,245,Black-throated cardinal,9/29/1971
Harriet,Kelk,246,"Cardinal, red-capped",3/26/1975
Martino,Scarr,247,"Hedgehog, south african",2/16/1991
Afton,Matthews,248,"Rat, arboral spiny",2/17/1993
Raimund,McLarty,249,Ringtail,3/14/1968
Daisy,Dincey,250,"Peccary, white-lipped",5/8/1966
Trula,Somerset,251,Small-spotted genet,10/3/1993
Claudine,Wayman,252,Bengal vulture,9/12/1995
Derron,Queripel,253,"Turtle, eastern box",7/16/1966
Adara,Goodby,254,Arctic hare,9/2/1993
Angeli,Brecon,255,"Iguana, land",6/20/1982
Robyn,Cornillot,256,"Shelduck, common",9/15/1987
Rubia,Chiplin,257,Australian spiny anteater,11/15/1989
Padget,Sier,258,Cottonmouth,5/3/1998
Wylma,Skryne,259,Bent-toed gecko,11/10/1970
Norina,Peasby,260,Mexican boa,1/21/1969
Klarika,Lorens,261,"Snake, racer",10/18/1975
Ermentrude,Ariss,262,Polar bear,4/14/1998
Adan,Chapiro,263,"Nuthatch, red-breasted",2/8/1998
Odey,Dumingos,264,Bent-toed gecko,8/17/1991
Court,Roman,265,Royal tern,3/4/1975
Tim,Galero,266,"Beaver, north american",11/29/1970
Hermie,Cawthorn,267,Brush-tailed phascogale,7/27/1989
Willy,Halewood,268,Mara,12/25/1993
Kennedy,Danson,269,Hyrax,2/6/1995
Konstantine,McCrow,270,"Starling, superb",8/27/1991
Alida,Houston,271,"Shark, blue",3/30/1984
Donnell,Stannard,272,Magnificent frigate bird,6/27/1988
Gisele,Mitrikhin,273,White-winged black tern,7/26/1992
Frank,MacShane,274,"Peacock, blue",9/24/1972
Lorilyn,Dottrell,275,"Kingfisher, pied",7/2/1977
Jarrod,Rigmond,276,"Grebe, little",2/4/1997
Elonore,Glazer,277,"Tortoise, indian star",4/6/1993
Daria,Michele,278,Stanley bustard,12/2/1965
Tris,Lavies,279,"Cat, ringtail",5/23/1990
Gracie,Newman,280,Tree porcupine,3/16/1977
Phyllida,Zarb,281,Eastern grey kangaroo,11/5/1998
Ebeneser,Corson,282,Sage grouse,1/22/1978
Sanders,Earngy,283,"Alligator, american",6/29/1977
Freedman,Ferby,284,"Wagtail, african pied",6/30/1984
Hilde,Burchmore,285,"Deer, roe",7/21/1972
Rolfe,Veltman,286,Asian openbill,12/15/1985
Stephine,Curneen,287,Springbok,2/1/1989
Aurel,Hurler,288,"Wombat, common",4/20/1975
Katerina,Owers,289,"Cobra, egyptian",6/19/1986
Rania,Simner,290,White-rumped vulture,7/16/1978
Evita,Jeandillou,291,"Devil, tasmanian",12/25/1984
Lisha,Bartley,292,"Wallaby, whip-tailed",12/22/1965
Shurlocke,Toye,293,Stone sheep,12/24/1980
Waylin,Richemond,294,Western grey kangaroo,3/24/1979
Kirstin,Stillgoe,295,"Goose, cape barren",7/2/1973
Rory,Kyneton,296,"Sandgrouse, yellow-throated",12/5/1965
Hamil,Measom,297,Sun gazer,12/7/1980
Johannah,Insley,298,"Sloth, two-toed",8/17/1974
Cam,Van Cassel,299,Civet cat,3/31/1978
Minta,Starbuck,300,Oriental short-clawed otter,12/12/1991
Fidelio,Clopton,301,Pocket gopher (unidentified),7/15/1978
Pier,Chese,302,Jungle kangaroo,1/13/1976
Danette,Mannering,303,"Cormorant, flightless",1/23/1974
Linell,Hawkswood,304,Dingo,9/8/1985
Penn,Godsmark,305,"Seal, northern elephant",9/28/1970
Brina,Rance,306,"Tamandua, southern",9/4/1970
Collete,Kinch,307,American black bear,4/14/1975
Riki,Casterton,308,Currasow (unidentified),6/20/1984
Dario,Magner,309,"Lion, steller sea",12/16/1966
Aaren,Jaycox,310,Klipspringer,1/2/1974
Mordy,Dancer,311,Huron,11/26/1990
Eirena,Fronzek,312,Yak,8/28/1971
Nelie,Josifovic,313,Gelada baboon,6/29/1969
Thomasina,Hazzard,314,Asiatic jackal,7/12/1997
Zonnya,Wimbridge,315,"Barbet, levaillant's",9/29/1968
Sayers,Leggs,316,Hawk-headed parrot,7/6/1993
Lincoln,Seywood,317,Red kangaroo,8/30/1987
Elsi,Aarons,318,Uinta ground squirrel,11/12/1964
Alene,Tucsell,319,Southern screamer,5/28/1979
Wade,Comello,320,"Cat, european wild",8/15/1986
Cal,Spittal,321,Long-billed corella,10/14/1968
Marcello,Serfati,322,"Teal, hottentot",1/1/1990
Emile,Durram,323,"Rattlesnake, dusky",11/29/1974
Neddie,Cowlas,324,"Ringtail, common",7/4/1998
Zora,Cooper,325,"Rattlesnake, dusky",6/27/1993
Hamlen,Philipeaux,326,Little heron,9/28/1998
Casey,Marl,327,Black-throated butcher bird,6/2/1994
Yul,Crosskill,328,"Gull, herring",9/24/1964
Carlyle,Waison,329,American racer,10/14/1968
Vernor,Moran,330,"Chickadee, black-capped",7/5/1981
Spenser,McPartlin,331,Red brocket,1/28/1992
Sally,Papaccio,332,"Boubou, southern",12/11/1981
Fionna,Cromar,333,Green-backed heron,1/7/1973
Greg,Masedon,334,Red-capped cardinal,9/23/1969
Cicily,Pettisall,335,"Gonolek, burchell's",9/14/1988
Emmit,Radsdale,336,"Mockingbird, galapagos",12/2/1964
Sonny,Bielfeldt,337,"Baboon, gelada",11/27/1970
Rey,Driffield,338,"Kangaroo, brush-tailed rat",11/14/1993
Gretchen,Sydenham,339,Bald eagle,11/10/1982
Annamarie,Eaddy,340,Caracara (unidentified),8/30/1965
Carley,Franek,341,"Bird, black-throated butcher",10/19/1965
Lucina,Trippitt,342,White-winged dove,7/18/1979
Kerby,Jowsey,343,Asian openbill,5/4/1998
Constantine,Powlesland,344,Red-necked wallaby,11/6/1974
Cece,Pendrey,345,"Zebra, plains",1/29/1985
Mellie,Minchindon,346,Steenbuck,2/14/1994
Pennie,Armitage,347,Magellanic penguin,5/12/1993
Marsh,Bison,348,Tree porcupine,7/13/1987
Valdemar,Giriardelli,349,"Gazer, sun",4/14/1994
Teri,Van den Oord,350,"Nighthawk, common",11/29/1989
Kissee,Blackboro,351,Cape starling,4/14/1970
Regen,Bowker,352,"Elk, Wapiti",3/5/1992
Conrado,Drable,353,"Butterfly, tropical buckeye",2/28/1991
Annissa,Gilyott,354,Sun gazer,12/25/1974
Edna,Santorini,355,"Cobra, egyptian",6/24/1999
Delphine,Ciani,356,"Turkey, common",11/1/1985
Lark,Dunbleton,357,"Gecko, tokay",12/27/1997
Jen,De Moreno,358,"Bandicoot, long-nosed",6/27/1989
Conway,Jeannet,359,Columbian rainbow boa,1/30/1996
Mitzi,Musto,360,Long-billed corella,10/31/1992
Giraldo,Gergler,361,Green heron,11/19/1986
Raffaello,Challiner,362,Desert spiny lizard,3/19/1986
Gaby,Donati,363,Gray duiker,7/29/1979
Avrom,Mallett,364,Yellow-bellied marmot,2/17/1975
Lynnea,Pulford,365,"Finch, common melba",3/26/1986
Corey,Mac Geaney,366,"Duck, mountain",4/10/1989
Aristotle,Coplestone,367,Asian lion,8/13/1988
Remington,Archell,368,"Fox, north american red",11/29/1994
Jose,MacMurray,369,Blackbuck,11/2/1990
Shaw,Slevin,370,Common turkey,2/10/1969
Joan,Silbert,371,"Tortoise, burmese brown mountain",7/16/1987
Benn,Jozsika,372,North American beaver,8/10/1993
Genny,Rorke,373,"Waterbuck, defassa",9/13/1967
Rip,Rapson,374,Common long-nosed armadillo,4/4/1990
Eada,Banaszewski,375,"Kangaroo, jungle",3/21/1970
Dannye,Bethel,376,"Whale, baleen",6/4/1965
Franz,Carlisso,377,Black-necked stork,9/7/1992
Blithe,Sustins,378,Baleen whale,3/25/1982
Lucienne,Whartonby,379,Ornate rock dragon,10/31/1979
Janice,Sango,380,Western lowland gorilla,1/29/1980
Benoite,Cossar,381,Egyptian cobra,4/13/1997
Cedric,Gudgen,382,Green vine snake,1/26/1965
Base,Dybell,383,"Echidna, short-beaked",5/11/1968
Brett,Marsters,384,"Cat, kaffir",12/10/1986
Jacynth,Grief,385,"Kangaroo, red",7/24/1998
Mendie,Ginman,386,"Wildebeest, blue",10/18/1973
Keefer,Belderfield,387,"Sparrow, rufous-collared",2/6/1994
Harland,Tivenan,388,"Lapwing, southern",5/26/1970
Merilee,Stoite,389,"Kingfisher, malachite",10/24/1964
Andris,L'Episcopio,390,Egyptian cobra,9/24/1974
Worth,Paddle,391,"Squirrel, red",7/20/1969
Jordon,Sheering,392,Masked booby,10/17/1988
Cecil,Bathurst,393,Swainson's francolin,7/2/1966
Corenda,Pietruschka,394,Red-legged pademelon,4/24/1981
Ingemar,Goatman,395,Desert spiny lizard,4/3/1971
Isaiah,Streeting,396,Silver-backed fox,2/12/1992
Kaycee,Manhood,397,Cereopsis goose,8/5/1987
Beverly,Delafoy,398,"Owl, madagascar hawk",9/25/1992
Rurik,Chappel,399,Crab-eating raccoon,2/21/1995
Sherilyn,Beardall,400,"Colobus, white-mantled",4/5/1968
Jillene,Broadberrie,401,Mourning collared dove,7/6/1965
Poppy,Walshaw,402,Square-lipped rhinoceros,8/30/1969
Jillie,Jellett,403,"Possum, common brushtail",10/20/1989
Clare,Felix,404,"Badger, american",8/4/1972
Quentin,Singleton,405,Greylag goose,4/30/1995
Faythe,Guwer,406,African skink,6/16/1987
Saraann,Jellico,407,"Gazelle, thomson's",6/28/1984
Andras,Petrushkevich,408,"Kingfisher, white-throated",10/24/1997
Becky,Tanby,409,Green vine snake,11/2/1973
Joeann,Waylen,410,"Crane, sandhill",9/13/1994
Berton,Kee,411,"Gecko, bent-toed",8/18/1980
Jarrad,Beckinsale,412,"Oryx, beisa",10/7/1980
Morey,Holttom,413,Platypus,1/10/1995
Lavina,Seely,414,"Otter, giant",7/17/1992
Mycah,Heditch,415,Dingo,7/26/1975
Noe,Ribbens,416,Royal tern,6/1/1996
Hanna,Eccleshall,417,Collared lemming,2/20/1980
Dal,Barefoot,418,"Beaver, american",11/11/1987
Frankie,Berthomieu,419,Red deer,12/13/1981
Marylinda,Jerzycowski,420,Sportive lemur,1/15/1982
Clerc,Featley,421,Egyptian vulture,4/22/1970
Kial,Burgill,422,"Chipmunk, least",12/20/1967
Sarge,Dearell,423,Tayra,4/18/1965
Jodee,Bizzey,424,"Barbet, black-collared",9/24/1977
Jeralee,Ryde,425,"Shrike, southern white-crowned",5/15/1982
Beitris,Dairton,426,Ovenbird,9/16/1989
Helaina,Adcock,427,"Fox, grey",10/14/1996
Court,Womack,428,Indian porcupine,1/16/1995
Carlin,Prichet,429,Green-winged macaw,4/6/1975
Feliza,Jandak,430,Pied butcher bird,10/20/1983
Devland,Hinstridge,431,"Lion, galapagos sea",1/27/1983
Rina,Riddiough,432,"Monkey, vervet",4/2/1967
Cleopatra,Blancowe,433,"Shrike, crimson-breasted",4/2/1979
Thedric,Morville,434,"Kingfisher, pied",9/14/1982
Pippy,Hollyar,435,"Penguin, magellanic",8/23/1973
Juan,Paull,436,"Phascogale, brush-tailed",3/11/1968
Yard,Le Surf,437,Galapagos sea lion,12/5/1972
Bryon,Pressdee,438,African jacana,2/17/1976
Ianthe,Millson,439,"Albatross, galapagos",3/30/1986
Aime,Lung,440,"Genet, small-spotted",5/31/1983
Debor,Lerhinan,441,"Badger, european",11/12/1981
Jeremias,Beavon,442,"Rattlesnake, dusky",5/14/1991
Babb,Posvner,443,Bare-faced go away bird,4/30/1984
Bonita,Casper,444,Antelope ground squirrel,9/22/1978
Moss,Haley,445,"Whale, killer",3/15/1981
Marcus,Faire,446,"Possum, ring-tailed",1/2/1981
Roxi,Farncomb,447,"Lapwing, southern",9/29/1986
Kiri,Sand,448,Topi,1/11/1992
Janey,Bernat,449,"Tenrec, tailless",10/26/1989
Merv,Mannock,450,Blue crane,12/19/1975
Lion,Rotchell,451,"Eagle, bateleur",12/10/1978
Ailis,Franiak,452,Pied cormorant,10/22/1993
Lianne,Scraney,453,Red-headed woodpecker,4/2/1975
Karlee,Skillicorn,454,Meerkat,4/19/1990
Louise,Curle,455,Black-crowned crane,10/17/1992
Hazlett,Kesteven,456,"Bird, pied butcher",1/30/1984
Jedidiah,Buzza,457,"Flamingo, roseat",2/8/1976
Giacopo,Pendrigh,458,"Heron, green-backed",8/18/1983
Cinda,Damrel,459,Pygmy possum,6/4/1989
Annissa,Speachley,460,Helmeted guinea fowl,11/29/1977
Valentina,Blackaller,461,"Vulture, king",10/28/1973
Belicia,Stitcher,462,African ground squirrel (unidentified),9/12/1995
Talya,Wickson,463,"Dove, little brown",10/19/1975
Eartha,Barrington,464,Snowy sheathbill,9/24/1991
Anna-diana,McKitterick,465,European spoonbill,1/10/1992
Noelani,Scholte,466,"Screamer, crested",8/2/1984
Jaclyn,Stangroom,467,Galapagos hawk,7/30/1969
Vern,Splain,468,Red-knobbed coot,10/29/1996
Malcolm,Cosgrave,469,Red and blue macaw,1/6/1983
Devina,Tamas,470,Savanna fox,2/10/1975
Orrin,Kretchmer,471,"Porcupine, tree",3/10/1995
Melisent,Vokes,472,"Magpie, australian",1/1/1988
Haleigh,Monks,473,"Mongoose, javan gold-spotted",11/7/1989
Lindsey,Robjents,474,"Cockatoo, red-tailed",5/23/1990
Gilberta,Flipsen,475,Eurasian red squirrel,12/1/1987
Jae,MacFarland,476,"Badger, european",7/22/1972
Wenona,Wabersich,477,Water moccasin,9/15/1972
Bran,Demageard,478,"Bear, sloth",4/23/1976
Winny,Whistance,479,"Otter, small-clawed",7/17/1987
Haze,Spurier,480,Kaffir cat,9/25/1974
Cleopatra,Davydoch,481,Downy woodpecker,7/27/1972
Carlos,Kinleyside,482,Native cat,1/26/1991
Robby,Caldero,483,"Waxbill, blue",10/19/1964
Kearney,Jerrolt,484,"Cat, kaffir",9/8/1986
Suzette,Lars,485,"Porcupine, prehensile-tailed",2/7/1991
Helga,Bouda,486,Wild boar,9/17/1985
Rolando,Vasyunichev,487,Snowy sheathbill,10/4/1988
